Charging Duration (hours),State of Charge (Start %),State of Charge (End %),Charging Rate (kW),Energy Consumed (kWh),Battery Capacity (kWh),Charging Cost (USD),Distance Driven (since last charge) (km),Temperature (°C),Charger Type,Electricity Price (USD/kWh)
-0.8684190528805342,-0.5593786640241136,-0.07685258497778902,-0.2715815444834109,-0.20276780915393322,0.11692069995935483,-0.6300865503452084,0.4715165196553355,-0.07806141310777082,-1.0,-0.9993553360730285
-0.19405676308219177,-0.8730899612604602,-0.09396699774453587,-0.39073170967636384,-0.8384484900141219,0.028518750756839184,-0.39736138100019724,-0.4440205316848048,-0.4031590183743292,0.0,-0.9947834968204395
-0.3746972538863218,-0.9262202888792992,-0.267351398721145,-0.4567409325573971,-0.7492249237010127,-0.23262349126809756,0.0234398955616979,-0.647385402086408,-0.243649455218093,1.0,-0.994318332302236
-0.6893520583806068,0.3162790707169718,0.08192475240122343,-0.3447289644967598,0.043570458158840975,-0.4937657332930344,-0.6315764915278962,-0.00279657203981043,0.16911516434221086,0.0,-0.9995126596338406
-0.48952414509373665,-0.15391896013751627,-0.33994008755594896,-0.8176032171849774,-0.7426513163325896,-0.4937657332930344,-0.7147817100264068,0.017805799426759306,-0.931090223497095,0.0,-0.9984325382588436
-0.7155570646015792,0.18753724938760152,-0.24307604991667386,-0.7316780402829941,-0.43314910378684013,-0.4937657332930344,0.0591290017061985,-0.2847771000274165,-0.8700615369385782,-1.0,-0.997403534577078
-0.08637079266352621,-0.04813916219979686,-0.2570226659601913,-0.4844536430736789,-0.5161883727279448,-0.12816659445812284,-0.36593542118883426,-0.5992663989795385,-0.0875165990321477,1.0,-0.9981730342079074
-0.3209178687918163,-0.12226804333866703,-0.3394341713657876,-0.47365315291950927,-0.32425473322275333,-0.23262349126809756,-0.7253358743897587,-0.42167122240315,-0.8496368467965433,1.0,-0.9994323723739594
-0.5679241817043934,-0.4926699317578431,0.0035857431405454943,-0.7325041583820474,-0.4277449764342103,-0.36841745712106466,-0.06924418172919755,0.041000246298676046,-0.2075396468405446,0.0,-0.9977389478390687
-0.4876382659501326,-0.5915080381108846,-0.26575513073346135,-0.785365971124445,0.035827439875730116,-0.4937657332930344,-0.3920400272525577,-0.7371433030161851,-0.08845385672403439,-1.0,-0.9991883853153647
-0.3227112772845647,0.2016918316378289,-0.12217039999800361,-0.81562158928423,-0.7613500320392554,-0.4937657332930344,0.09735989470385342,-0.6835278353239229,-0.7323967042201875,-1.0,-0.9936011957596058
-0.47941157406820667,-0.799726028172203,-0.07993855130929117,-0.9375762453413539,-0.7040710191649895,-0.12816659445812284,-0.6022099832681416,-0.027081061004017304,0.07247691602051431,-1.0,-0.9981117719071685
-0.21211215625965596,-0.7250030369939138,-0.4824090691549896,-0.9154865563426309,-0.5504302539807987,0.028518750756839184,-0.6913184072827407,0.2471613430183619,-0.18021340067417346,1.0,-0.9990354475742577
-0.0727506740413576,-0.6179665337032898,-0.27577429624255134,-0.6183038328696007,-0.7829690723603022,-0.23262349126809756,0.07480224831791715,-0.20632601445478527,0.06884705010986847,1.0,-0.9931079334213524
-0.11762075005492933,0.12995875487162523,-0.34037685563877995,-0.5256353225494439,-0.8307179092289181,-0.12816659445812284,-0.4719086381715839,-0.22585360185597592,0.19746349573379307,0.0,-0.9956300823409567
-0.3082147495586348,-0.8639441435890766,-0.23812400309016224,-0.7988947677280162,-0.6411326601585459,0.028518750756839184,-0.051053685154785255,0.23975509673264894,-0.9422456309543463,-1.0,-0.9963183663685545
-0.1078404395557877,0.06329973469817607,-0.031912348545536595,-9.728420318499964e-05,-0.6756596153126113,0.004303680687307798,-0.5025308420973778,0.18752849517362002,-0.6390675183082856,-1.0,-0.9978526396156826
-0.8002862618807458,-0.09956557198479876,-0.20804271696850818,-0.8927350208220606,-0.6875247771680003,-0.4937657332930344,-0.8227656882106669,-0.8985671912241138,-0.3055437912945091,1.0,-0.9991893176966438
-0.8110785762185284,-0.1334222480713234,-0.4696286156418046,-0.6032469945451936,-0.4402863440043677,0.028518750756839184,-0.2830253989657343,0.40724838980013156,0.14799439645832857,0.0,-0.9982171747312126
-0.3406719184771696,-0.8300943166197936,0.2755861179353216,-0.08586584362735195,-0.36348298711548954,-0.4937657332930344,-0.803655740196348,0.2175404506935632,-0.5249458919416874,1.0,-0.9995670586772686
-0.18471415511896716,-0.7683381153154147,-0.1730715338780835,-0.3946489993905219,-0.3398737208625907,-0.4937657332930344,-0.173211657046772,-0.9317927250421466,0.06574699573032616,1.0,-0.9982597137242514
-0.345475222773412,-0.23920173151117252,-0.3312620319702163,-0.6302829221370674,-0.3541008821950019,-0.23262349126809756,-0.5789028283769018,0.49465101546321066,0.20827451190760593,-1.0,-0.9990914016874775
-0.4758198254247038,-0.7245518820334865,-0.21928051246676028,0.006319098355724417,-0.10112343275197233,0.028518750756839184,0.10270951070025247,0.4075177564228598,-0.6589613392411336,-1.0,-0.9982998728841072
