0,1,2,3,4,5,6,7,8,9,10
-0.1603453,-0.40209955,-0.6581772,-0.56493086,-0.4005905,0.24590048,-0.09936549,-0.056457102,0.20744571,0.38468522,-0.99557436
-0.098181196,-0.42239293,-0.4914256,-0.657727,-0.7310789,-0.52712107,0.14989784,0.2120299,0.039432544,-0.11788737,-0.04414323
0.17387803,-0.0067956895,-0.7218832,-0.5557377,0.09028669,-0.16779071,-0.3633471,-0.17669,-0.74797684,-0.7255733,0.99997365
-0.10749155,0.13900548,-0.32975876,-0.004311617,-0.4006917,-0.6243877,-0.23658893,0.17803797,-0.059575226,-0.5415215,-0.6033751
-0.11125174,-0.2767297,-0.63516957,-0.42874146,-0.39360166,-0.7255567,-0.45753154,-0.039027736,0.22486505,-0.3623304,0.31534058
-0.31240073,-0.7177102,-0.33255413,-0.33506486,-0.75523925,-0.74890566,-0.040010095,-0.4441104,-0.17232595,-0.24421711,-0.03244725
-0.4352409,-0.9127438,0.04451878,-0.043078434,0.04735641,-0.81345516,-0.26957762,-0.07123504,-0.63018256,-0.99603677,-0.97436106
-0.34720507,-0.5623907,-0.33541542,-0.14188088,-0.4235331,0.02069249,-0.28499666,0.3376857,-0.3454277,-0.83476174,-0.8867199
-0.20976916,-0.7854497,-0.7242599,-0.10307168,-0.7476048,-0.60449606,0.13971604,-0.51794124,0.20145655,-0.08675414,-0.3836427
-0.19863679,-0.024008451,-0.5451034,-0.5427712,0.23830053,-0.68415076,-0.38002628,0.007629783,-0.23126033,-0.061455615,0.9622895
-0.43451923,-0.6956468,-0.669615,-0.31376198,-0.537278,-0.21267982,-0.10007157,0.35473415,-0.16106312,-0.74813336,0.30879742
-0.5334704,-0.7899784,-0.71938026,-0.6042578,-0.3994802,0.28331465,0.072969005,0.45341325,-0.48502588,-0.91653186,-0.5440394
-0.27002493,-0.6667365,-0.05017976,0.0019263303,0.25022885,-0.7361978,-0.44186932,-0.18342575,-0.63617355,-0.8283954,-0.101539075
-0.11232345,-0.12639646,-0.11914464,-0.38949528,0.0058590025,-0.38768068,-0.070542224,-0.22194876,-0.4809948,-0.677197,-0.9777973
-0.6601726,-0.07141764,-0.41452554,-0.19120573,-0.5347199,-0.7833633,-0.30171448,-0.8377244,-0.8768762,-0.085947305,-0.85547143
-0.20032439,0.08168303,-0.44243097,-0.6691378,-0.48151368,0.024855224,-0.14623027,-0.50326335,-0.8480604,-0.39488804,0.93471664
-0.25926316,-0.060659304,-0.21446526,-0.53602123,0.03947554,-0.73742217,-0.06842175,-0.050805703,-0.73907894,-0.90642124,0.6533263
-0.10230706,-0.44816357,-0.4100224,-0.34229407,-0.04064185,-0.39919928,-0.21712814,-0.09696654,-0.03440114,0.16070549,0.96858555
-0.5315612,-0.340334,-0.44638452,-0.13628551,-0.32112017,-0.40405986,-0.11336291,-0.38000405,-0.5595754,-0.09420923,0.99863696
-0.36945897,-0.4543659,-0.6536472,0.25584155,-0.467017,-0.63770324,-0.11591458,-0.6370464,-0.28068474,0.2116239,-0.93288517
-0.10192811,-0.5834738,-0.19557127,-0.33799157,-0.414219,-0.22223468,-0.11090578,-0.6209808,0.12743135,-0.16479285,0.9615383
0.12909043,-0.28833443,-0.43590137,-0.540841,-0.44429126,-0.40252817,-0.25887996,0.042973366,-0.5602996,-0.6597933,0.9999998
0.049462613,0.30397326,-0.5018115,-0.54715496,0.09835719,-0.71468204,-0.25220415,0.49769875,0.033445366,-0.1853539,-0.567931
-0.3049729,-0.044900946,-0.5209621,-0.8016929,-0.23653547,-0.054048955,-0.1910195,-0.07603804,-0.09807327,-0.15111832,-0.41340324
0.00018959865,-0.0861574,-0.2481491,-0.4579271,0.045695454,-0.74189395,-0.2603757,0.39416113,-0.4154997,-0.59582764,-0.62522537
-0.44028866,-0.4264531,-0.33481616,-0.48304573,-0.1669252,-0.58339334,-0.26060867,0.037023276,-0.32592654,-0.38852212,0.32534808
-0.6909497,-0.5214258,-0.49738243,0.022828352,-0.08459463,-0.16472733,0.06738274,0.28917733,-0.42635083,-0.8556342,0.9997658
-0.31422457,-0.7249324,0.5798073,-0.82012403,-0.7984523,-0.577976,-0.29743546,0.3287508,-0.6360951,-0.4448051,-0.31166348
-0.20620953,0.06820427,-0.5683918,-0.53375715,-0.18265174,-0.14116116,0.031302646,-0.3031604,-0.52979356,-0.11185071,-0.84021646
0.17413716,-0.73255956,-0.5068739,-0.5934262,-0.10243353,-0.029701937,-0.46862185,-0.14207438,0.3877918,0.455836,0.9999909
-0.34065577,-0.60937375,-0.2940292,-0.5473445,-0.72982377,-0.81743586,0.04777204,-0.87528694,-0.01796702,-0.3681271,-0.9508646
-0.1824708,-0.15067558,-0.5918883,-0.25328895,-0.06275281,-0.47954592,-0.37971878,-0.09500644,-0.052830417,-0.22029756,-0.097432695
-0.09825815,-0.111277685,-0.64471513,-0.68332934,0.2270378,-0.7639298,-0.49188864,0.124748886,-0.063156374,-0.27723446,0.50270945
0.10315487,0.41594368,-0.582718,-0.75382817,-0.5319007,-0.13980587,-0.0038443538,-0.6670055,-0.84179497,-0.4327703,0.9998046
-0.07121212,-0.3777865,-0.54073817,-0.32242116,-0.07118225,-0.31372774,-0.031164736,-0.026225185,-0.050186742,0.028503546,0.69544935
-0.58989483,-0.5387836,-0.63161993,0.07687679,-0.4522071,-0.36646613,-0.2147945,-0.23372343,-0.7431866,-0.11874559,0.24127863
-0.46591094,-0.72762847,-0.27237037,-0.1576867,-0.11461584,-0.62081647,-0.19940904,0.0219739,-0.53796,-0.94066864,-0.381897
-0.050487902,-0.8031153,-0.6301403,-0.19403604,0.051161703,-0.2555955,-0.4959956,-0.3319641,0.36359662,0.521363,0.9997382
0.076270506,-0.6809594,-0.08553868,-0.5567395,-0.18944316,-0.8639121,-0.20993088,-0.08916529,-0.6764767,-0.82040036,0.3546885
-0.108630344,-0.38870263,-0.57844186,-0.65816647,-0.07404342,-0.13103965,-0.10011987,0.6038352,-0.14821334,0.16754515,-0.82903165
-0.61205983,-0.71630776,-0.4305392,-0.29367176,-0.71032286,-0.5571564,-0.013729887,-0.3705257,-0.26909244,-0.36021003,0.7842538
-0.5165853,-0.46672934,-0.37002066,-0.28522688,-0.42576787,-0.015001933,-0.0125412475,-0.19858344,-0.24830961,-0.59339434,0.9989064
