Battery Capacity (kWh),Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Rate (kW),State of Charge (Start %),State of Charge (End %),Charging Duration (min)
0.11693791789991947,2024-01-01 00:00:00,2024-01-01 00:39:00,-0.20276780915393333,-0.2715815444834109,-0.6397851328037072,-0.0768525849777888,39.0
0.028537692324610564,2024-01-01 01:00:00,2024-01-01 03:01:00,-0.838448490014122,-0.39073170967636384,-0.8962490487456978,-0.09396699774453576,121.0
-0.23259945804932503,2024-01-01 02:00:00,2024-01-01 04:48:00,-0.7492249237010128,-0.456740932557397,-0.9396839265981923,-0.2673513987211449,168.0
-0.4937366084232607,2024-01-01 03:00:00,2024-01-01 06:42:00,0.04357045815884075,-0.3447289644967598,0.07607882764333951,0.08192475240122365,222.0
-0.4937366084232607,2024-01-01 04:00:00,2024-01-01 05:46:00,-0.7426513163325896,-0.8176032171849774,-0.3083154524590589,-0.33994008755594884,106.0
-0.4937366084232607,2024-01-01 05:00:00,2024-01-01 07:10:00,-0.43314910378684013,-0.7316780402829941,-0.029169634667404964,-0.24307604991667375,130.0
-0.12814459789975075,2024-01-01 06:00:00,2024-01-01 07:53:00,-0.5161883727279448,-0.4844536430736788,-0.2218388051541913,-0.2570226659601912,113.0
-0.23259945804932503,2024-01-01 07:00:00,2024-01-01 10:42:00,-0.32425473322275333,-0.47365315291950927,-0.2824403305335915,-0.33943417136578735,222.0
-0.3683907762437716,2024-01-01 08:00:00,2024-01-01 09:21:00,-0.4277449764342103,-0.7325041583820474,-0.5852496957466083,0.0035857431405457163,81.0
-0.4937366084232607,2024-01-01 09:00:00,2024-01-01 12:44:00,0.035827439875730116,-0.785365971124445,-0.6660514010817361,-0.26575513073346124,224.0
-0.4937366084232607,2024-01-01 10:00:00,2024-01-01 13:59:00,-0.7613500320392556,-0.81562158928423,-0.017598041217005922,-0.1221703999980035,239.0
-0.12814459789975075,2024-01-01 11:00:00,2024-01-01 14:55:00,-0.7040710191649895,-0.9375762453413539,-0.8362728804199984,-0.07993855130929095,235.0
0.028537692324610564,2024-01-01 12:00:00,2024-01-01 13:00:00,-0.5504302539807988,-0.9154865563426309,-0.7751856607460281,-0.4824090691549894,60.0
-0.23259945804932503,2024-01-01 13:00:00,2024-01-01 15:54:00,-0.7829690723603023,-0.6183038328696006,-0.6876816370641206,-0.2757742962425511,174.0
-0.12814459789975075,2024-01-01 14:00:00,2024-01-01 17:32:00,-0.8307179092289181,-0.5256353225494439,-0.07624095886803328,-0.34037685563877973,212.0
0.028537692324610564,2024-01-01 15:00:00,2024-01-01 17:19:00,-0.641132660158546,-0.7988947677280162,-0.8887721990588744,-0.23812400309016213,139.0
0.004323094391202265,2024-01-01 16:00:00,2024-01-01 18:02:00,-0.6756596153126114,-9.728420318511066e-05,-0.13073575550794914,-0.031912348545536484,122.0
-0.4937366084232607,2024-01-01 17:00:00,2024-01-01 20:13:00,-0.6875247771680004,-0.8927350208220605,-0.26388070339785785,-0.20804271696850796,193.0
0.028537692324610564,2024-01-01 18:00:00,2024-01-01 21:03:00,-0.44028634400436784,-0.6032469945451935,-0.2915590682078697,-0.46962861564180447,183.0
